"Planned End Date,Routed Hours"
"12/29/2022,0:17:00"
"11/3/2022,0:46:00"
"12/20/2022,0:57:00"
"10/4/2022,0:58:00"
"1/10/2023,1:00:00"
"12/19/2022,1:02:00"
"1/11/2023,1:05:00"
"1/21/2022,1:40:00"
"10/11/2022,1:58:00"
"4/13/2022,2:18:00"
"12/21/2022,2:25:00"
"1/17/2022,2:30:00"
"6/30/2022,2:33:00"
"1/16/2023,2:36:00"
"4/29/2022,2:40:00"
"10/13/2022,3:04:00"
"2/13/2023,3:06:00"
"3/31/2022,3:07:00"
"9/26/2022,3:14:00"
"3/7/2022,3:23:00"
"11/22/2022,3:29:00"
"1/31/2022,3:32:00"
"10/20/2022,3:33:00"
"5/16/2022,3:37:00"
"4/14/2022,3:43:00"
"8/17/2022,3:43:00"
"11/4/2022,3:43:00"
"12/27/2022,3:45:00"
"2/15/2023,3:45:00"
"5/10/2022,3:48:30"
"3/15/2022,3:51:00"
"1/17/2023,3:52:00"
"9/19/2022,3:57:00"
"3/22/2022,4:00:00"
"6/28/2022,4:00:00"
"2/17/2022,4:07:00"
"3/28/2023,4:09:00"
"12/15/2022,4:12:00"
"10/17/2022,4:16:00"
"11/7/2022,4:16:30"
"3/11/2022,4:21:00"
"10/7/2022,4:22:00"
"12/6/2022,4:31:00"
"8/4/2022,4:34:00"
"8/25/2022,4:38:00"
"10/25/2022,4:40:00"
"4/7/2023,4:43:00"
"5/18/2022,4:48:00"
"1/20/2022,4:52:00"
"3/31/2023,4:52:00"
"4/12/2023,5:02:00"
"2/6/2023,5:03:30"
"5/5/2022,5:05:00"
"2/14/2022,5:07:00"
"3/24/2023,5:08:00"
"9/1/2022,5:09:00"
"2/3/2022,5:11:00"
"2/1/2023,5:12:00"
"2/18/2022,5:13:00"
"6/9/2022,5:13:00"
"5/20/2022,5:14:00"
"12/16/2022,5:20:00"
"2/21/2023,5:20:00"
"9/9/2022,5:25:00"
"1/14/2022,5:29:00"
"1/27/2022,5:33:00"
"2/23/2022,5:36:00"
"4/20/2022,5:39:00"
"3/23/2022,5:43:00"
"6/10/2022,5:45:00"
"3/24/2022,5:47:00"
"9/15/2022,5:47:00"
"1/19/2023,5:51:00"
"2/28/2022,5:52:00"
"8/31/2022,5:52:00"
"11/9/2022,5:52:00"
"2/15/2022,5:55:00"
"5/12/2022,5:55:00"
"9/22/2022,5:55:00"
"1/11/2022,5:59:00"
"11/21/2022,6:00:00"
"5/26/2022,6:03:00"
"11/15/2022,6:03:00"
"1/31/2023,6:04:00"
"12/8/2022,6:11:00"
"1/30/2023,6:11:00"
"9/2/2022,6:14:00"
"2/9/2022,6:18:00"
"4/21/2022,6:19:00"
"6/6/2022,6:19:00"
"7/19/2022,6:20:00"
"4/11/2022,6:22:00"
"5/3/2022,6:22:00"
"12/12/2022,6:25:00"
"6/8/2022,6:37:00"
"10/28/2022,6:38:00"
"4/7/2022,6:40:00"
"7/20/2022,6:40:00"
"12/7/2022,6:40:00"
"2/1/2022,6:42:00"
"4/15/2022,6:45:00"
"6/2/2022,6:48:00"
"4/26/2022,6:53:00"
"8/9/2022,6:56:00"
"4/14/2023,6:57:00"
"6/15/2022,6:59:00"
"5/19/2022,7:04:00"
"7/12/2022,7:04:00"
"11/16/2022,7:04:00"
"3/30/2022,7:06:00"
"10/14/2022,7:06:00"
"3/16/2023,7:06:00"
"3/9/2022,7:11:00"
"9/12/2022,7:19:00"
"4/25/2022,7:20:00"
"6/21/2022,7:20:00"
"6/22/2022,7:20:00"
"2/2/2023,7:26:00"
"3/18/2022,7:30:00"
"5/31/2022,7:32:00"
"12/13/2022,7:34:00"
"9/30/2022,7:42:00"
"10/6/2022,7:42:00"
"8/18/2022,7:46:00"
"2/10/2022,7:47:00"
"4/27/2022,7:47:00"
"9/7/2022,7:50:00"
"2/21/2022,7:51:00"
"2/28/2023,7:55:00"
"2/7/2022,7:57:00"
"7/5/2022,7:59:00"
"2/2/2022,8:01:00"
"11/28/2022,8:02:00"
"11/11/2022,8:03:00"
"2/14/2023,8:08:00"
"3/29/2023,8:09:00"
"6/29/2022,8:13:00"
"4/17/2023,8:13:00"
"8/5/2022,8:17:00"
"7/13/2022,8:24:00"
"4/5/2023,8:27:00"
"1/10/2022,8:32:00"
"9/20/2022,8:33:00"
"3/9/2023,8:33:00"
"2/25/2022,8:40:00"
"1/24/2023,8:40:00"
"3/28/2022,8:41:00"
"6/7/2022,8:42:00"
"2/24/2022,8:44:00"
"7/25/2022,8:44:00"
"6/27/2022,8:46:00"
"10/19/2022,8:46:00"
"3/30/2023,8:46:00"
"9/28/2022,8:47:00"
"8/11/2022,8:49:00"
"4/21/2023,8:49:00"
"4/19/2022,8:50:00"
"8/1/2022,8:51:00"
"3/27/2023,8:55:00"
"5/11/2022,8:57:00"
"9/8/2022,8:59:00"
"10/18/2022,9:01:00"
"11/17/2022,9:01:00"
"4/8/2022,9:04:00"
"4/12/2022,9:04:00"
"9/23/2022,9:05:00"
"2/22/2022,9:06:00"
"5/27/2022,9:07:00"
"9/16/2022,9:07:00"
"12/2/2022,9:08:00"
"1/26/2022,9:11:00"
"3/1/2022,9:13:00"
"3/4/2022,9:13:00"
"8/24/2022,9:13:00"
"6/3/2022,9:18:00"
"10/3/2022,9:20:00"
"4/28/2022,9:21:00"
"3/8/2022,9:22:00"
"7/8/2022,9:23:00"
"2/20/2023,9:26:00"
"3/15/2023,9:26:00"
"1/27/2023,9:27:00"
"8/22/2022,9:31:30"
"10/27/2022,9:33:00"
"8/3/2022,9:34:00"
"2/23/2023,9:34:00"
"9/27/2022,9:35:00"
"7/29/2022,9:36:00"
"6/1/2022,9:38:00"
"3/17/2022,9:39:00"
"8/19/2022,9:40:00"
"5/24/2022,9:46:00"
"3/14/2022,9:49:00"
"11/1/2022,9:49:00"
"11/2/2022,9:50:00"
"1/20/2023,9:50:00"
"3/20/2023,9:50:00"
"10/31/2022,9:54:00"
"2/24/2023,9:54:00"
"4/24/2023,9:54:00"
"6/16/2022,9:55:00"
"1/12/2023,9:55:00"
"1/25/2022,9:56:00"
"3/2/2022,9:56:00"
"4/27/2023,10:05:00"
"5/2/2022,10:11:00"
"1/18/2023,10:11:00"
"3/7/2023,10:12:00"
"1/26/2023,10:14:00"
"10/10/2022,10:19:00"
"7/21/2022,10:20:00"
"8/26/2022,10:21:00"
"3/13/2023,10:22:00"
"11/8/2022,10:24:00"
"1/13/2022,10:26:00"
"6/20/2022,10:27:00"
"3/1/2023,10:31:00"
"2/4/2022,10:33:00"
"7/15/2022,10:36:00"
"3/16/2022,10:48:00"
"4/1/2022,10:49:00"
"8/15/2022,10:50:00"
"11/14/2022,10:52:00"
"12/5/2022,10:54:00"
"5/9/2022,10:56:00"
"3/3/2022,11:03:00"
"1/13/2023,11:03:00"
"3/10/2022,11:04:00"
"7/1/2022,11:04:00"
"8/23/2022,11:11:00"
"2/10/2023,11:14:00"
"7/14/2022,11:20:00"
"3/2/2023,11:24:00"
"12/14/2022,11:27:00"
"12/9/2022,11:29:00"
"5/17/2022,11:39:00"
"4/18/2023,11:48:00"
"4/18/2022,11:49:00"
"2/8/2023,11:52:00"
"7/27/2022,12:01:00"
"10/5/2022,12:02:00"
"8/29/2022,12:08:00"
"9/6/2022,12:08:00"
"11/23/2022,12:10:00"
"4/13/2023,12:19:00"
"4/4/2022,12:24:00"
"10/21/2022,12:27:00"
"2/11/2022,12:34:00"
"10/26/2022,12:35:00"
"11/10/2022,12:37:00"
"9/29/2022,12:38:00"
"8/30/2022,12:39:00"
"1/19/2022,12:50:00"
"3/14/2023,12:51:00"
"3/22/2023,12:53:30"
"3/6/2023,12:55:00"
"4/20/2023,13:02:00"
"3/23/2023,13:06:00"
"8/10/2022,13:13:00"
"4/26/2023,13:16:30"
"8/16/2022,13:19:00"
"3/10/2023,13:19:00"
"2/16/2023,13:23:00"
"11/30/2022,13:28:00"
"4/10/2023,13:32:00"
"4/4/2023,13:34:00"
"7/6/2022,13:35:00"
"11/18/2022,13:35:00"
"1/18/2022,13:42:00"
"7/11/2022,13:43:00"
"9/14/2022,13:45:00"
"1/24/2022,13:53:00"
"5/6/2022,13:54:00"
"4/19/2023,14:03:00"
"4/28/2023,14:14:00"
"3/21/2022,14:18:00"
"4/5/2022,14:24:00"
"3/8/2023,14:28:00"
"4/6/2022,14:33:00"
"5/13/2022,14:41:00"
"6/14/2022,14:44:00"
"5/23/2022,14:45:00"
"9/13/2022,14:46:00"
"10/12/2022,14:55:00"
"4/3/2023,15:04:00"
"1/23/2023,15:16:00"
"2/22/2023,15:17:00"
"2/17/2023,15:25:00"
"11/29/2022,15:28:00"
"5/25/2022,15:33:00"
"3/25/2022,15:38:00"
"2/3/2023,15:39:00"
"7/22/2022,15:44:00"
"7/28/2022,15:46:00"
"3/21/2023,15:49:30"
"5/4/2022,15:50:00"
"7/7/2022,16:03:00"
"4/6/2023,16:04:00"
"2/9/2023,16:19:00"
"4/22/2022,16:30:00"
"4/11/2023,16:42:00"
"2/27/2023,17:29:30"
"6/23/2022,18:02:00"
"2/16/2022,18:19:00"
"2/8/2022,18:23:00"
"3/3/2023,18:30:00"
"2/7/2023,19:06:00"
"10/24/2022,19:27:00"
"1/28/2022,19:29:00"
"7/26/2022,19:29:00"
"1/25/2023,19:39:00"
"8/12/2022,20:11:00"
"1/12/2022,20:29:00"
"6/24/2022,20:39:00"
"8/8/2022,21:03:00"
"6/13/2022,21:23:00"
"12/1/2022,21:37:00"
"8/2/2022,22:09:00"
"4/25/2023,22:09:00"
"9/21/2022,22:59:00"
"6/17/2022,25:18:00"
"3/29/2022,25:22:00"
